0001 ,2.169880301
0011 ,0.192874027
0021 ,0.068770364
0031 ,0.019360228
0041 ,0.003218496
0051 ,0.000884120
0061 ,0.000331308
0071 ,0.000113430
0081 ,0.000032240
0091 ,0.006648154
0101 ,0.000087336
0111 ,0.000037084
0121 ,0.000017126
0131 ,0.000008527
0141 ,0.000003684
0151 ,0.000001453
0161 ,0.000000500
0171 ,0.000000178
0181 ,0.000000064
0191 ,0.000000025
0201 ,0.000000011
0211 ,0.000000006
0221 ,0.000000004
0231 ,0.000000004
0241 ,0.000000003
0251 ,0.000000003
0261 ,0.000000003
0271 ,0.000000003
0281 ,0.000000003
0291 ,0.000000003
